PSGC,GEOLEVEL,LGUNAME
0102812069,BGY,"\""Bry. No. 18, San Quirino \"""
0102812070,BGY,"\""Bgy. No. 8, San Vicente \"""
0102812071,BGY,"\""Bgy. No. 9, Santa Angela \"""
0102812072,BGY,"\""Bgy. No. 11, Santa Balbina \"""
0102812073,BGY,"\""Bgy. No. 25, Santa Cayetana \"""
0102812074,BGY,"\""Bgy. No. 2, Santa Joaquina \"""
0102812075,BGY,"\""Bgy. No. 19, Santa Marcela \"""
0102812076,BGY,"\""Bgy. No. 30-B, Santa Maria\"""
0102812077,BGY,"\""Bgy. No. 39, Santa Rosa\"""
0102812078,BGY,"\""Bgy. No. 14, Santo Tomas \"""
0102812079,BGY,"\""Bgy. No. 29, Santo Tomas \"""
0102812080,BGY,"\""Bgy. No. 30-A, Suyo\"""
0102812081,BGY,"\""Bgy. No. 31, Talingaan\"""
0102812082,BGY,"\""Bgy. No. 45, Tangid\"""
0102812083,BGY,"\""Bgy. No. 55-C, Vira\"""
0102812084,BGY,"\""Bgy. No. 44, Zamboanga\"""
0102813000,MUN,Marcos
0102813001,BGY,Pacifico
0102813003,BGY,Imelda
0102813004,BGY,Elizabeth
0102813005,BGY,Daquioag
0102813006,BGY,Escoda
0102813007,BGY,Ferdinand
0102813008,BGY,Fortuna
0102813009,BGY,Lydia
0102813010,BGY,Mabuti
0102813011,BGY,Valdez
0102813012,BGY,Tabucbuc
0102813013,BGY,Santiago
0102813014,BGY,Cacafean
0102814000,MUN,Nueva Era
0102814001,BGY,Acnam
0102814002,BGY,Barangobong
0102814003,BGY,Barikir
0102814004,BGY,Bugayong
0102814005,BGY,Cabittauran
0102814006,BGY,Caray
0102814007,BGY,Garnaden
0102814008,BGY,Naguillan
0102814009,BGY,Poblacion
0102814010,BGY,Santo Ni o
0102814011,BGY,Uguis
0102815000,MUN,Pagudpud
0102815001,BGY,Aggasi
0102815003,BGY,Baduang
0102815004,BGY,Balaoi
0102815005,BGY,Burayoc
0102815006,BGY,Caunayan
0102815007,BGY,Dampig
0102815008,BGY,Ligaya
0102815010,BGY,Pancian
0102815011,BGY,Pasaleng
0102815012,BGY,Poblacion 1
0102815013,BGY,Poblacion 2
0102815014,BGY,Saguigui
0102815015,BGY,Saud
0102815016,BGY,Subec
0102815017,BGY,Tarrag
0102815018,BGY,Caparispisan
0102816000,MUN,Paoay
0102816001,BGY,Bacsil
0102816002,BGY,Cabagoan
0102816003,BGY,Cabangaran
0102816004,BGY,Callaguip
0102816005,BGY,Cayubog
0102816006,BGY,Dolores
0102816007,BGY,Laoa
0102816008,BGY,Masintoc
0102816009,BGY,Monte
0102816010,BGY,Mumulaan
0102816011,BGY,Nagbacalan
0102816012,BGY,Nalasin
0102816013,BGY,Nanguyudan
0102816014,BGY,Oaig-Upay-Abulao
0102816015,BGY,Pambaran
0102816016,BGY,Pannaratan
0102816017,BGY,Paratong
0102816018,BGY,Pasil
0102816019,BGY,Salbang
0102816020,BGY,San Agustin
0102816021,BGY,San Blas
0102816022,BGY,San Juan
0102816025,BGY,San Pedro
0102816028,BGY,San Roque
0102816029,BGY,Sangladan Pob.
0102816030,BGY,Santa Rita
0102816031,BGY,Sideg
0102816032,BGY,Suba
0102816033,BGY,Sungadan
0102816034,BGY,Surgui
0102816035,BGY,Veronica
0102817000,MUN,Pasuquin
0102817001,BGY,Batuli
0102817002,BGY,Binsang
0102817003,BGY,Nalvo
0102817004,BGY,Caruan
0102817005,BGY,Carusikis
0102817006,BGY,Carusipan
0102817007,BGY,Dadaeman
0102817008,BGY,Darupidip
0102817009,BGY,Davila
0102817010,BGY,Dilanis
0102817011,BGY,Dilavo
0102817012,BGY,Estancia
0102817014,BGY,Naglicuan
0102817015,BGY,Nagsanga
0102817016,BGY,Ngabangab
0102817017,BGY,Pangil
0102817018,BGY,Poblacion 1
0102817019,BGY,Poblacion 2
0102817020,BGY,Poblacion 3
0102817021,BGY,Poblacion 4
0102817022,BGY,Pragata
0102817023,BGY,Puyupuyan
0102817024,BGY,Sulongan
0102817025,BGY,Salpad
0102817026,BGY,San Juan
0102817027,BGY,Santa Catalina
0102817028,BGY,Santa Matilde
0102817029,BGY,Sapat
0102817030,BGY,Sulbec
0102817031,BGY,Surong
0102817032,BGY,Susugaen
0102817033,BGY,Tabungao
0102817034,BGY,Tadao
0102818000,MUN,Piddig
0102818001,BGY,Ab-abut
0102818002,BGY,Abucay
0102818003,BGY,Anao
0102818004,BGY,Arua-ay
0102818005,BGY,Bimmanga
0102818006,BGY,Boyboy
0102818007,BGY,Cabaroan
0102818008,BGY,Calambeg
0102818009,BGY,Callusa
0102818010,BGY,Dupitac
0102818011,BGY,Estancia
0102818012,BGY,Gayamat
0102818013,BGY,Lagandit
0102818014,BGY,Libnaoan
0102818015,BGY,Loing
0102818016,BGY,Maab-abaca
0102818017,BGY,Mangitayag
0102818018,BGY,Maruaya
0102818019,BGY,San Antonio
0102818020,BGY,Santa Maria
0102818021,BGY,Sucsuquen
0102818022,BGY,Tangaoan
0102818023,BGY,Tonoton
0102819000,MUN,Pinili
0102819001,BGY,Aglipay
0102819002,BGY,Apatut-Lubong
0102819003,BGY,Badio
0102819004,BGY,Barbar
0102819005,BGY,Buanga
0102819006,BGY,Bulbulala
0102819007,BGY,Bungro
0102819008,BGY,Cabaroan
0102819009,BGY,Capangdanan
0102819010,BGY,Dalayap
0102819011,BGY,Darat
0102819012,BGY,Gulpeng
0102819013,BGY,Liliputen
0102819014,BGY,Lumbaan-Bicbica
0102819015,BGY,Nagtrigoan
0102819016,BGY,Pagdilao
0102819017,BGY,Pugaoan
0102819018,BGY,Puritac
0102819019,BGY,Sacritan
0102819020,BGY,Salanap
0102819021,BGY,Santo Tomas
0102819022,BGY,Tartarabang
0102819023,BGY,Puzol
0102819024,BGY,Upon
0102819025,BGY,Valbuena
0102820000,MUN,San Nicolas
0102820001,BGY,San Francisco
0102820002,BGY,San Ildefonso
0102820003,BGY,San Agustin
0102820004,BGY,San Baltazar
0102820005,BGY,San Bartolome
0102820006,BGY,San Cayetano
0102820007,BGY,San Eugenio
0102820008,BGY,San Fernando
0102820009,BGY,San Gregorio
0102820010,BGY,San Guillermo
0102820011,BGY,San Jose
0102820012,BGY,San Juan Bautista
0102820013,BGY,San Lorenzo
0102820014,BGY,San Lucas
0102820015,BGY,San Marcos
0102820016,BGY,San Miguel
0102820017,BGY,San Pablo
0102820018,BGY,San Paulo
